iter	Passed	Remaining
413	3305	4678
414	3313	4670
415	3321	4662
416	3329	4654
417	3336	4646
418	3344	4638
419	3352	4629
420	3360	4621
421	3368	4613
422	3376	4605
423	3383	4596
424	3391	4588
425	3399	4580
426	3407	4572
427	3415	4564
428	3423	4556
429	3430	4548
430	3438	4539
431	3446	4531
432	3454	4524
433	3462	4516
434	3470	4508
435	3479	4500
436	3487	4492
437	3495	4484
438	3503	4477
439	3511	4469
440	3519	4461
441	3527	4453
442	3537	4447
443	3546	4440
444	3554	4432
445	3562	4424
446	3570	4416
447	3577	4408
448	3585	4400
449	3593	4392
450	3601	4384
451	3609	4376
452	3617	4367
453	3625	4359
454	3633	4351
455	3641	4343
456	3648	4335
457	3656	4327
458	3664	4319
459	3672	4311
460	3680	4302
461	3688	4294
462	3696	4286
463	3704	4279
464	3712	4271
465	3720	4262
466	3727	4254
467	3735	4246
468	3743	4238
469	3751	4230
470	3759	4221
471	3767	4213
472	3774	4205
473	3782	4197
474	3790	4189
475	3798	4181
476	3806	4173
477	3814	4165
478	3822	4157
479	3830	4149
480	3837	4141
481	3845	4133
482	3853	4125
483	3861	4117
484	3869	4108
485	3877	4100
486	3885	4092
487	3893	4084
488	3901	4076
489	3908	4068
490	3916	4060
491	3924	4052
492	3932	4043
493	3940	4036
494	3948	4027
495	3955	4019
496	3963	4011
497	3971	4003
498	3979	3995
499	3987	3987
500	3996	3980
501	4004	3972
502	4012	3964
503	4019	3956
504	4027	3948
505	4035	3939
506	4043	3931
507	4051	3924
508	4059	3916
509	4067	3907
510	4075	3899
511	4083	3891
512	4090	3883
513	4099	3875
514	4106	3867
515	4114	3859
516	4122	3851
517	4130	3843
518	4138	3835
519	4146	3827
520	4153	3818
521	4161	3810
522	4169	3802
523	4177	3794
524	4184	3786
525	4193	3778
526	4200	3770
527	4208	3762
528	4216	3753
529	4223	3745
530	4231	3737
531	4239	3729
532	4247	3721
533	4254	3712
534	4262	3704
535	4270	3696
536	4278	3688
537	4285	3680
538	4293	3672
539	4301	3664
540	4309	3656
541	4317	3648
542	4324	3639
543	4332	3631
544	4340	3623
545	4348	3615
546	4356	3607
547	4364	3599
548	4372	3591
549	4380	3583
550	4387	3575
551	4396	3567
552	4403	3559
553	4411	3551
554	4419	3543
555	4427	3535
556	4435	3527
557	4443	3519
558	4451	3511
559	4459	3503
560	4467	3495
561	4474	3487
562	4483	3479
563	4491	3471
564	4498	3463
565	4506	3455
566	4514	3447
567	4522	3439
568	4530	3431
569	4538	3423
570	4546	3415
571	4554	3407
572	4561	3399
573	4569	3391
574	4577	3383
575	4585	3375
576	4593	3367
577	4601	3359
578	4609	3351
579	4617	3343
580	4625	3335
581	4633	3327
582	4641	3319
583	4648	3311
584	4656	3303
585	4664	3295
586	4672	3287
587	4680	3279
588	4688	3271
589	4696	3263
590	4704	3255
591	4712	3247
592	4720	3239
593	4728	3231
594	4736	3223
595	4744	3215
596	4752	3208
597	4761	3200
598	4769	3193
599	4777	3185
600	4785	3177
601	4793	3169
602	4801	3161
603	4809	3153
604	4817	3145
605	4825	3137
606	4832	3129
607	4840	3120
608	4848	3112
609	4856	3105
610	4864	3097
611	4872	3089
612	4880	3081
613	4888	3073
614	4896	3065
615	4904	3057
616	4912	3049
617	4920	3041
618	4928	3033
619	4936	3025
620	4943	3017
621	4951	3009
622	4959	3001
623	4968	2993
624	4976	2985
625	4985	2978
626	4993	2970
627	5001	2962
628	5009	2954
629	5018	2947
630	5027	2940
631	5035	2932
632	5043	2923
633	5050	2915
634	5059	2907
635	5067	2900
636	5075	2892
637	5082	2884
638	5090	2876
639	5099	2868
640	5107	2860
641	5115	2852
642	5123	2844
643	5131	2836
644	5139	2828
645	5146	2820
646	5155	2812
647	5162	2804
648	5170	2796
649	5178	2788
650	5186	2780
651	5194	2772
652	5202	2764
653	5210	2756
654	5218	2748
655	5225	2740
656	5233	2732
657	5241	2724
658	5250	2716
659	5258	2709
660	5266	2701
661	5274	2693
662	5282	2685
663	5290	2677
664	5298	2669
665	5306	2661
666	5314	2653
667	5322	2645
668	5330	2637
669	5338	2629
670	5345	2621
671	5353	2613
672	5361	2605
673	5369	2597
674	5377	2589
675	5385	2581
676	5393	2573
677	5401	2565
678	5409	2557
679	5417	2549
680	5425	2541
681	5433	2533
682	5441	2525
683	5449	2517
684	5457	2509
685	5465	2501
686	5473	2493
687	5481	2485
688	5488	2477
689	5496	2469
690	5504	2461
691	5512	2453
692	5520	2445
693	5528	2437
694	5536	2429
695	5544	2421
696	5552	2413
697	5560	2405
698	5568	2397
699	5576	2389
700	5584	2381
701	5592	2373
702	5599	2365
703	5607	2357
704	5615	2349
705	5622	2341
706	5630	2333
707	5638	2325
708	5646	2317
709	5654	2309
710	5662	2301
711	5670	2293
712	5678	2285
713	5686	2277
714	5694	2269
715	5702	2261
716	5710	2253
717	5718	2245
718	5726	2237
719	5734	2229
720	5741	2221
721	5749	2213
722	5757	2205
723	5765	2197
724	5773	2189
725	5781	2181
726	5788	2173
727	5796	2165
728	5804	2157
729	5812	2149
730	5820	2141
731	5828	2133
